NAME,RTG,BYE,GP,FPPG,PTS ALLOW,YARDS ALLOW,PLAYS ALLOW,SACKS,FF,FR,INT,DEF TD, SP TD
"Baltimore Ravens",95,13,16,9.9,16.4,302.1,65.4,3.6,0.8,0.7,0.4,0.1,0.1
"Dallas Cowboys",97,7,16,9.5,19.1,307.2,60.3,2.6,0.8,0.5,0.6,0.4,0
"Buffalo Bills",91,13,16,9.1,18.6,309.2,60.4,3.3,0.9,0.8,1,0.2,0
"Miami Dolphins",88,10,16,8.9,23.1,308.6,61.2,3.3,0.8,0.7,0.8,0.2,0
"Cleveland Browns",99,5,16,8.9,20.7,266.6,58.9,2.9,0.8,0.6,1.3,0.2,0
"San Francisco 49ers",98,9,16,8.6,17.3,306.8,61,2.9,0.6,0.4,0.8,0.1,0
"Las Vegas Raiders",72,13,16,8.5,19.8,333.7,64.4,2.6,0.9,0.6,1.1,0.3,0
"New Orleans Saints",87,11,16,8.1,19.4,323.3,62.1,2.1,0.5,0.6,0.7,0.2,0.1
"Minnesota Vikings",79,13,16,7.8,20.8,330.2,64.9,2.6,1.4,0.7,1.1,0.1,0
"Pittsburgh Steelers",89,6,16,7.8,19.6,349.5,63.6,2.7,1.1,0.6,0.6,0.1,0
"Indianapolis Colts",77,11,16,7.8,24.5,352.6,67.6,3.1,1.1,0.6,0.6,0.3,0
"New York Jets",95,7,16,7.8,22,303.1,64.3,2.6,0.9,0.6,0.9,0.2,0.1
"Tampa Bay Buccaneers",84,5,16,7.4,20.3,353.3,64.4,2.8,1,0.6,0.6,0.1,0
"Kansas City Chiefs",92,10,16,7.3,17.6,285.8,60.3,3.4,0.8,0.5,1,0.1,0
"Jacksonville Jaguars",87,9,16,7.3,21.4,343.8,63.9,2.4,0.8,0.7,0.8,0.1,0
"Houston Texans",76,7,16,7.1,20.9,328.9,63.6,2.8,0.9,0.6,0.5,0.2,0.1
"Chicago Bears",60,13,16,7,22.6,317.4,60.9,1.8,0.8,0.3,0.9,0.1,0
"Seattle Seahawks",74,5,16,6.6,23.9,365.4,67.4,2.9,0.8,0.5,0.8,0.2,0
"Denver Broncos",69,9,16,6.6,24.1,371.5,63.6,2.4,1.2,0.9,0.5,0.1,0.1
"Cincinnati Bengals",89,7,16,6.5,23.1,382.8,62.6,2.6,0.7,0.6,0.8,0.1,0.1
"Green Bay Packers",84,6,16,6.4,21.3,344,63.4,2.5,0.7,0.8,0.7,0.1,0
"New York Giants",73,13,16,6.4,24.8,365.6,64.1,1.8,1,0.6,0.7,0.2,0.1
"Los Angeles Chargers",74,5,16,6.2,24.1,368.9,65.9,2.9,0.9,0.8,0.5,0.1,0.1
"Detroit Lions",81,9,16,6.2,23.4,329.1,60.4,2.3,0.8,0.4,0.8,0.1,0
"New England Patriots",90,11,16,6.1,21.8,304.6,64.2,2.2,0.9,0.4,1.2,0.1,0.1
"Atlanta Falcons",81,11,16,6,20.3,316.1,64,2.4,1.1,0.5,0.9,0.1,0
"Philadelphia Eagles",95,10,16,6,25.1,352.4,64.9,2.6,1,0.5,0.9,0.2,0
"Tennessee Titans",80,7,16,5.8,21.7,333.4,64.4,2.8,0.8,0.5,0.6,0.1,0
"Los Angeles Rams",72,10,16,4.8,22.3,340.2,63.8,2.4,0.4,0.2,0.8,0,0
"Arizona Cardinals",67,14,16,4.1,27.1,357.5,62.9,2.1,0.4,0.4,0.8,0.1,0
"Washington Commanders",82,14,16,3.7,30,385.8,65.5,2.4,0.6,0.6,1.2,0,0
"Carolina Panthers",84,7,16,3.6,25.4,298.1,59.5,1.5,0.2,0.2,0.6,0.2,0.1
