PLAYER,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP
A.J. Brown,22,16,11,0,0,0,0,0,3,60,20.00,1,84,52,1051,20.21,8,1,0,9,0,0
A.J. McCarron,29,2,1,21,37,225,0,1,5,39,7.80,1,0,0,0,0,0,0,0,1,0,0
Aaron Jones,25,16,16,0,0,0,0,0,236,1084,4.59,16,68,49,474,9.67,3,3,2,19,0,0
Aaron Rodgers,36,16,16,353,569,4002,26,4,46,183,3.98,1,0,0,0,0,0,4,4,1,1,2
Adam Humphries,26,12,3,0,0,0,0,0,1,1,1.00,0,47,37,374,10.11,2,1,0,2,0,0
Adam Shaheen,25,8,2,0,0,0,0,0,0,0,0,0,13,9,74,8.22,0,1,1,0,1,0
Adam Thielen,29,10,10,0,0,0,0,0,4,6,1.50,1,48,30,418,13.93,6,0,0,7,0,0
Adrian Peterson,34,15,15,0,0,0,0,0,211,898,4.26,5,23,17,142,8.35,0,3,2,5,0,0
Alec Ingold,23,16,4,0,0,0,0,0,10,17,1.70,0,6,6,44,7.33,1,0,0,1,0,0
Alex Armah,25,16,1,0,0,0,0,0,6,11,1.83,1,2,2,6,3.00,0,0,0,1,0,0
Alex Erickson,27,16,6,1,1,26,0,0,5,33,6.60,0,78,43,529,12.30,0,4,2,0,0,0
Alexander Mattison,21,13,0,0,0,0,0,0,100,462,4.62,1,12,10,82,8.20,0,1,1,1,0,0
Alfred Morris,31,1,0,0,0,0,0,0,1,4,4.00,0,0,0,0,0,0,0,0,0,0,0
Allen Lazard,24,16,3,0,0,0,0,0,1,21,21.00,0,52,35,477,13.63,3,0,0,3,0,0
Allen Robinson,26,16,15,0,0,0,0,0,1,2,2.00,0,154,98,1147,11.70,7,0,0,7,0,0
Alshon Jeffery,29,10,10,0,0,0,0,0,1,2,2.00,1,73,43,490,11.40,4,0,0,5,0,0
Alvin Kamara,24,14,9,1,1,13,0,0,171,797,4.66,5,97,81,533,6.58,1,4,1,6,0,0
Amari Cooper,25,16,16,0,0,0,0,0,1,6,6.00,0,119,79,1189,15.05,8,0,0,8,0,0
Ameer Abdullah,26,16,0,0,0,0,0,0,23,115,5.00,0,21,15,88,5.87,1,1,1,1,0,0
Andre Roberts,31,13,0,0,0,0,0,0,1,7,7.00,0,7,3,20,6.67,0,1,0,0,0,0
Andy Dalton,32,13,13,314,528,3494,16,14,32,73,2.28,4,1,1,-4,-4.00,0,8,4,4,1,1
Andy Isabella,23,15,1,0,0,0,0,0,4,15,3.75,0,13,9,189,21.00,1,0,0,1,0,0
Andy Janovich,26,7,3,0,0,0,0,0,1,1,1.00,1,5,5,42,8.40,0,0,0,1,0,0
Anthony Firkser,24,15,1,0,0,0,0,0,0,0,0,0,24,14,204,14.57,1,0,0,1,0,0
Anthony Miller,25,16,7,0,0,0,0,0,1,-1,-1.00,0,85,52,656,12.62,2,1,1,2,0,0
Anthony Sherman,31,16,0,0,0,0,0,0,4,9,2.25,0,3,2,22,11.00,0,0,0,0,0,0
Antonio Brown,31,1,0,0,0,0,0,0,1,5,5.00,0,8,4,56,14.00,1,0,0,1,0,0
Antonio Callaway,22,4,2,0,0,0,0,0,0,0,0,0,15,8,89,11.13,0,0,0,0,0,0
Ashton Dulin,22,13,0,0,0,0,0,0,0,0,0,0,2,2,17,8.50,0,0,0,0,0,0
Auden Tate,22,12,10,0,0,0,0,0,0,0,0,0,80,40,575,14.38,1,1,1,1,0,0
Austin Carr,26,6,3,0,0,0,0,0,0,0,0,0,4,1,9,9.00,0,0,0,0,0,0
Austin Ekeler,24,16,8,0,0,0,0,0,132,557,4.22,3,108,92,993,10.79,8,3,2,11,0,0
Austin Hooper,25,13,10,0,0,0,0,0,0,0,0,0,97,75,787,10.49,6,0,0,6,1,0
Austin Walter,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baker Mayfield,24,16,16,317,534,3827,22,21,28,141,5.04,3,0,0,0,0,0,6,2,3,0,1
Ben Roethlisberger,37,2,2,35,62,351,0,1,1,7,7.00,0,0,0,0,0,0,1,0,0,0,0
Bennie Fowler,28,8,2,0,0,0,0,0,1,20,20.00,0,36,23,193,8.39,0,0,0,0,1,0
Benny Snell Jr.,21,13,2,0,0,0,0,0,108,426,3.94,2,4,3,23,7.67,0,1,1,2,0,0
Blake Bell,28,15,7,0,0,0,0,0,0,0,0,0,15,8,67,8.38,0,0,0,0,0,0
Blake Jarwin,25,16,7,0,0,0,0,0,0,0,0,0,41,31,365,11.77,3,1,0,3,0,0
Bo Scarbrough,25,6,5,0,0,0,0,0,89,377,4.24,1,4,1,5,5.00,0,1,1,1,0,0
Boston Scott,24,11,2,0,0,0,0,0,61,245,4.02,5,26,24,204,8.50,0,4,1,5,0,0
Brandin Cooks,26,14,14,0,0,0,0,0,6,52,8.67,0,72,42,583,13.88,2,0,0,2,0,0
Brandon Allen,27,3,3,39,84,515,3,2,10,39,3.90,0,0,0,0,0,0,0,0,0,0,0
Brandon Dillon,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Wilson,25,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Brandon Zylstra,26,8,0,0,0,0,0,0,0,0,0,0,12,8,106,13.25,0,1,0,0,0,0
Braxton Berrios,24,16,0,0,0,0,0,0,0,0,0,0,13,6,115,19.17,0,1,1,0,0,0
Breshad Perriman,26,14,4,0,0,0,0,0,2,16,8.00,0,69,36,645,17.92,6,0,0,6,0,0
Brian Hill,24,12,2,0,0,0,0,0,78,323,4.14,2,14,10,69,6.90,1,0,0,3,0,0
Brian Hoyer,34,4,1,35,65,372,4,4,8,2,0.25,0,0,0,0,0,0,2,1,0,0,0
Buddy Howell,23,16,0,0,0,0,0,0,5,10,2.00,0,0,0,0,0,0,0,0,0,0,0
Byron Pringle,26,16,0,0,0,0,0,0,0,0,0,0,16,12,170,14.17,1,0,0,1,0,0
C.J. Board,26,4,0,0,0,0,0,0,0,0,0,0,4,2,31,15.50,0,0,0,0,0,0
C.J. Ham,26,16,7,0,0,0,0,0,7,17,2.43,0,26,17,149,8.76,1,1,1,1,0,0
C.J. Prosise,25,9,0,0,0,0,0,0,23,72,3.13,1,12,10,76,7.60,0,1,1,1,0,0
