DEFENSE,TACKLES,SOLO,ASSIST,PASS DEF,SACKS,INT,FF,FR,SFTY,TD
Arizona Cardinals,71.9,50.2,21.8,3.8,2.5,0.4,1.2,0.6,0,0
Atlanta Falcons,63.6,39.5,24.1,3.4,1.8,0.7,1.1,0.5,0,0
Baltimore Ravens,55.2,39.3,15.9,4.9,2.3,0.8,0.9,0.8,0.1,0
Buffalo Bills,61.2,42.6,18.6,4.8,2.8,0.8,1,0.6,0.1,0
Carolina Panthers,58.1,40.2,17.9,3.8,3.3,0.7,0.4,0.4,0.1,0
Chicago Bears,63,47.9,15.1,4.6,2,0.6,0.8,0.6,0.1,0
Cincinnati Bengals,67.6,43,24.6,4,1.9,0.8,0.6,0.3,0.1,0
Cleveland Browns,58.6,42.4,16.2,3.9,2.4,0.8,0.6,0.4,0,0
Dallas Cowboys,63.7,41.7,22,4.5,2.4,0.4,0.8,0.6,0,0
Denver Broncos,61.1,40.1,20.9,4.1,2.5,0.6,0.6,0.4,0,0
Detroit Lions,61,44.5,16.5,4.1,1.8,0.4,1,0.7,0,0
Green Bay Packers,57.1,39.8,17.4,4.6,2.6,1.1,0.8,0.5,0,0
Houston Texans,63.4,43.1,20.3,4.8,1.9,0.8,0.8,0.6,0,0
Indianapolis Colts,66.4,47.6,18.8,3.1,2.6,0.9,0.9,0.5,0.1,0
Jacksonville Jaguars,61,42.4,18.6,3.7,2.9,0.6,0.9,0.6,0,0
Kansas City Chiefs,60.7,41.8,18.9,3.9,2.8,1,0.8,0.4,0,0
Las Vegas Raiders,62.2,46.6,15.6,4.3,2,0.6,0.6,0.4,0,0
Los Angeles Chargers,59.8,41.6,18.2,2.8,1.9,0.7,0.3,0.2,0,0
Los Angeles Rams,64.2,41.9,22.3,4.6,3.1,0.8,0.9,0.7,0.1,0
Miami Dolphins,66.2,41.2,25,4.1,1.4,0.8,0.6,0.2,0.1,0
Minnesota Vikings,61.6,44.4,17.2,5,3,1.1,1.1,0.9,0.1,0
New England Patriots,61.3,43.6,17.8,5.8,2.9,1.6,1.1,0.7,0.1,0
New Orleans Saints,55.6,40.9,14.6,5.1,3.2,0.8,0.6,0.6,0.1,0
New York Giants,71.7,47.4,24.3,4.7,2.2,0.7,0.6,0.4,0.1,0
New York Jets,58.4,40.9,17.5,3.6,2.2,0.6,0.6,0.6,0.1,0
Philadelphia Eagles,59.7,41.6,18.1,5.8,2.7,0.8,1,0.6,0,0
Pittsburgh Steelers,71.7,49.2,22.5,5.5,3.4,1.2,1.8,1.1,0,0
San Francisco 49ers,63.6,45.4,18.2,5,3,0.8,1.4,0.9,0,0
Seattle Seahawks,63.1,39.1,24,4.7,1.8,1.1,1.2,1,0,0
Tampa Bay Buccaneers,57.1,42,15.1,5.6,2.9,0.8,1.3,1,0,0
Tennessee Titans,66,44.4,21.6,4,2.7,0.8,0.6,0.6,0.1,0
Washington Commanders,67.4,46.4,20.9,3.1,2.9,0.7,0.9,0.6,0,0
