Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP
Wayne Gallman,NYG,RB,25,10,2,0,0,0,0,0,29,110,3.79,2,15,11,102,9.27,1,0,1,3,0,0
Cyril Grayson,TAM,WR,26,2,0,0,0,0,0,0,0,0,0,0,1,1,3,3.00,0,0,0,0,0,0
Justin Watson,TAM,WR,23,16,2,0,0,0,0,0,0,0,0,0,26,15,159,10.60,2,0,0,2,0,0
Javon Wims,CHI,WR,25,16,6,0,0,0,0,0,0,0,0,0,39,18,186,10.33,1,0,0,1,0,0
Dak Prescott,DAL,QB,26,16,16,388,596,4902,30,11,52,277,5.33,3,0,0,0,0,0,6,2,3,0,1
Matt Barkley,BUF,QB,29,2,0,27,51,359,0,3,2,-4,-2.00,0,0,0,0,0,0,3,1,0,0,0
Garrett Gilbert,CLE,QB,28,5,0,0,3,0,0,0,3,-3,-1.00,0,0,0,0,0,0,0,0,0,0,0
Carlos Hyde,HOU,RB,29,16,14,0,0,0,0,0,245,1070,4.37,6,16,10,42,4.20,0,4,2,6,0,0
Will Fuller,HOU,WR,25,11,11,0,0,0,0,0,0,0,0,0,71,49,670,13.67,3,1,0,3,0,0
Cam Sims,WAS,WR,23,7,1,0,0,0,0,0,0,0,0,0,3,2,27,13.50,0,0,0,0,0,0
Mike Glennon,OAK,QB,30,2,0,6,10,56,1,0,2,0,0.00,0,0,0,0,0,0,3,1,0,0,0
Kendrick Bourne,SFO,WR,24,16,0,0,0,0,0,0,0,0,0,0,44,30,358,11.93,5,0,0,5,1,0
Courtland Sutton,DEN,WR,24,16,14,1,1,38,0,0,3,17,5.67,0,124,72,1112,15.44,6,2,0,6,0,0
Mitchell Trubisky,CHI,QB,25,15,15,326,516,3138,17,10,48,193,4.02,2,0,0,0,0,0,5,2,2,0,1
Donte Moncrief,2TM,WR,26,8,2,0,0,0,0,0,0,0,0,0,15,4,18,4.50,0,0,0,0,0,0
Mark Ingram,BAL,RB,30,15,15,0,0,0,0,0,202,1018,5.04,10,29,26,247,9.50,5,2,2,15,2,0
DeSean Jackson,PHI,WR,33,3,3,0,0,0,0,0,0,0,0,0,10,9,159,17.67,2,0,0,2,0,0
Breshad Perriman,TAM,WR,26,14,4,0,0,0,0,0,2,16,8.00,0,69,36,645,17.92,6,0,0,6,0,0
Dawson Knox,BUF,TE,23,15,11,0,0,0,0,0,1,9,9.00,0,50,28,388,13.86,2,0,0,2,0,0
Ryan Fitzpatrick,MIA,QB,37,15,13,311,502,3529,20,13,54,243,4.50,4,0,0,0,0,0,9,2,4,0,1
Larry Fitzgerald,ARI,WR,36,16,16,0,0,0,0,0,0,0,0,0,109,75,804,10.72,4,1,1,4,0,0
Ryan Nall,CHI,RB,24,8,0,0,0,0,0,0,2,8,4.00,0,0,0,0,0,0,0,0,0,0,0
Greg Olsen,CAR,TE,34,14,14,0,0,0,0,0,0,0,0,0,82,52,597,11.48,2,0,0,2,0,0
Chad Beebe,MIN,WR,25,3,0,0,0,0,0,0,0,0,0,0,2,2,70,35.00,0,3,0,0,0,0
Le'Veon Bell,NYJ,RB,27,15,15,0,0,0,0,0,245,789,3.22,3,78,66,461,6.98,1,1,1,4,1,0
Russell Wilson,SEA,QB,31,16,16,341,516,4110,31,5,75,342,4.56,3,0,0,0,0,0,8,2,3,0,1
Foster Moreau,OAK,TE,22,13,7,0,0,0,0,0,0,0,0,0,25,21,174,8.29,5,0,0,5,0,0
Ameer Abdullah,MIN,RB,26,16,0,0,0,0,0,0,23,115,5.00,0,21,15,88,5.87,1,1,1,1,0,0
Tony Pollard,DAL,RB,22,15,0,0,0,0,0,0,86,455,5.29,2,20,15,107,7.13,1,1,1,3,1,0
Tyreek Hill,KAN,WR,25,12,12,0,0,0,0,0,8,23,2.88,0,89,58,860,14.83,7,0,0,7,0,0
Juwann Winfree,DEN,WR,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diontae Spencer,DEN,WR,27,16,2,0,0,0,0,0,3,6,2.00,0,8,6,31,5.17,0,3,1,0,0,0
Josh Malone,NYJ,WR,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.J. Yeldon,BUF,RB,26,6,0,0,0,0,0,0,17,63,3.71,0,15,13,124,9.54,0,1,1,0,0,0
Danny Amendola,DET,WR,34,15,10,1,1,19,1,0,0,0,0,0,97,62,678,10.94,1,0,0,1,0,0
Leonard Fournette,JAX,RB,24,15,15,0,0,0,0,0,265,1152,4.35,3,100,76,522,6.87,0,1,1,3,0,0
Jace Sternberger,GNB,TE,23,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Anthony Sherman,KAN,RB,31,16,0,0,0,0,0,0,4,9,2.25,0,3,2,22,11.00,0,0,0,0,0,0
Derek Watt,LAC,RB,27,16,2,0,0,0,0,0,7,10,1.43,1,5,3,32,10.67,0,0,0,1,0,0
Ricky Seals-Jones,CLE,WR,24,14,3,0,0,0,0,0,0,0,0,0,22,14,229,16.36,4,1,1,4,0,0
Buddy Howell,HOU,RB,23,16,0,0,0,0,0,0,5,10,2.00,0,0,0,0,0,0,0,0,0,0,0
Trenton Cannon,NYJ,RB,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandin Cooks,LAR,WR,26,14,14,0,0,0,0,0,6,52,8.67,0,72,42,583,13.88,2,0,0,2,0,0
Tim Patrick,DEN,WR,26,8,2,0,0,0,0,0,0,0,0,0,31,16,218,13.63,0,0,0,0,0,0
A.J. Brown,TEN,WR,22,16,11,0,0,0,0,0,3,60,20.00,1,84,52,1051,20.21,8,1,0,9,0,0
Dan Arnold,2TM,WR,24,5,1,0,0,0,0,0,0,0,0,0,14,8,127,15.88,2,0,0,2,0,0
Ryan Griffin,TAM,QB,30,2,0,2,4,18,0,0,4,-1,-0.25,0,0,0,0,0,0,0,0,0,0,0
Andrew Beck,DEN,TE,23,16,6,1,1,6,0,0,1,3,3.00,0,12,9,90,10.00,1,0,0,1,0,0
Josh Reynolds,LAR,WR,24,16,2,0,0,0,0,0,5,23,4.60,0,43,21,326,15.52,1,0,0,1,0,0
Demetrius Harris,CLE,TE,28,15,6,0,0,0,0,0,0,0,0,0,27,15,149,9.93,3,0,0,3,1,0
Giovani Bernard,CIN,RB,28,16,2,0,0,0,0,0,53,170,3.21,0,43,30,234,7.80,0,2,1,0,0,0
Kenny Golladay,DET,WR,26,16,16,0,0,0,0,0,0,0,0,0,116,65,1190,18.31,11,1,1,11,0,0
Aaron Rodgers,GNB,QB,36,16,16,353,569,4002,26,4,46,183,3.98,1,0,0,0,0,0,4,4,1,1,2
Marquez Valdes-Scantling,GNB,WR,25,16,10,0,0,0,0,0,2,9,4.50,0,56,26,452,17.38,2,0,0,2,0,0
