Rk,Player,Tm,Age,Pos,G,XPA,FGM,FGA,Sfty,Pts,Pts/G,Player-additional
1,Daniel Carlson,LVR,25,K,16,47,33,35,,144,9.0,CarlDa00
2,Younghoe Koo*,ATL,26,K,15,36,37,39,,144,9.6,KooxYo00
3,Jason Sanders+,MIA,25,K,16,36,36,39,,144,9.0,SandJa00
4,Tyler Bass,BUF,23,K,16,59,28,34,,141,8.8,BassTy00
5,Rodrigo Blankenship,IND,23,K,16,45,32,37,,139,8.7,BlanRo03
6,Ryan Succop,TAM,34,K,16,57,28,31,,136,8.5,SuccRy44
7,Greg Zuerlein,DAL,33,K,16,36,34,41,,135,8.4,ZuerGr00
8,Justin Tucker*,BAL,31,K,16,53,26,29,,130,8.1,TuckJu00
10,Wil Lutz,NOR,26,K,16,58,23,28,,126,7.9,LutzWi00
11,Cairo Santos,CHI,29,K,16,37,30,32,,126,7.9,SantCa01
12,Harrison Butker,KAN,25,K,16,54,25,27,,123,7.7,ButkHa00
13,Jason Myers,SEA,29,K,16,53,24,24,,121,7.6,MyerJa00
14,Joey Slye,CAR,24,K,16,36,29,36,,120,7.5,SlyeJo00
15,Ka'imi Fairbairn,HOU,26,K,16,40,27,31,,118,7.4,FairKa01
16,Graham Gano,NYG,33,K,16,23,31,32,,114,7.1,GanoGr44
17,Dustin Hopkins,WAS,30,K,16,32,27,34,,111,6.9,HopkDu00
19,Michael Badgley,LAC,25,K,16,39,24,33,,108,6.8,BadgMi00
21,Nick Folk,NWE,36,K,16,33,26,28,,108,6.8,FolkNi20
22,Brandon McManus,DEN,29,K,15,27,28,34,,108,7.2,McMaBr01
23,Mason Crosby,GNB,36,K,16,63,16,16,,107,6.7,CrosMa20
26,Matt Prater,DET,36,K,16,41,21,28,,101,6.3,PratMa20
27,Stephen Gostkowski,TEN,36,K,15,48,18,26,,100,6.7,GostSt20
28,Cody Parkey,CLE,28,K,15,47,19,22,,100,6.7,ParkCo03
29,Robbie Gould,SFO,38,K,15,38,19,23,,93,6.2,gouldrob01
30,Chris Boswell,PIT,29,K,13,38,19,20,,91,7.0,BoswCh00
31,Randy Bullock,CIN,31,K,12,25,21,26,,87,7.3,BullRa00
32,Zane Gonzalez,ARI,25,K,12,39,16,22,,86,7.2,GonzZa00
34,Dan Bailey,MIN,32,K,16,43,15,22,,82,5.1,BailDa00
43,Jake Elliott,PHI,25,K,16,26,14,19,,66,4.1,ElliJa03
58,Matt Gay,LAR,26,K,7,16,14,16,,58,8.3,GayxMa00
68,Sam Sloman,2TM,23,K,8,26,10,13,,53,6.6,SlomSa00
69,Sam Ficken,NYJ,28,K,9,15,13,15,,51,5.7,FickSa00
121,Aldrick Rosas,JAX,26,K,6,9,8,11,,33,5.5,RosaAl00
131,Sergio Castillo,NYJ,30,K,6,7,8,13,,30,5.0,CastSe00
149,Mike Nugent,ARI,38,K,4,7,7,8,,28,7.0,nugenmik01
153,Austin Seibert,2TM,24,K,5,9,6,9,,26,5.2,SeibAu00
180,Josh Lambo,JAX,30,K,4,10,5,5,,23,5.8,LambJo00
188,Matthew Wright,PIT,24,K,3,7,4,4,,19,6.3,WrigMa00
235,Chase McLaughlin,2TM,24,K,4,6,4,5,,17,4.3,McLaCh00
313,Tristan Vizcaino,SFO,24,K,1,2,3,3,,11,11.0,VizcTr00
314,Kai Forbath,LAR,33,K,2,5,2,3,,10,5.0,ForbKa00
463,Jonathan Brown,JAX,28,K,1,1,1,2,,4,4.0,BrowJo03
464,Elliott Fry,ATL,26,K,1,2,1,1,,4,4.0,FryxEl01
472,Stephen Hauschka,JAX,35,K,1,2,,2,,2,2.0,HausSt00
492,Taylor Russolino,DEN,31,K,1,3,,1,,1,1.0,RussTa00
493,Brandon Wright,JAX,23,K,1,2,,,,1,1.0,WrigBr00
