PLAYER,PPG
A.J. Brown,17.678571428571427
A.J. McCarron,0.4
Aaron Jones,18.49285714285714
Aaron Rodgers,23.95625
Adam Humphries,8.257142857142856
Adam Shaheen,2.8125
Adam Thielen,16.933333333333334
Adrian Peterson,7.78125
Alec Ingold,1.8375
Alex Armah,0.48125
Alex Erickson,1.4125
Alexander Mattison,6.684615384615385
Alfred Morris,4.522222222222222
Allen Lazard,9.78
Allen Robinson,16.43125
Alshon Jeffery,3.357142857142857
Alvin Kamara,25.186666666666667
Amari Cooper,14.8
Ameer Abdullah,1.875
Andre Roberts,0.20666666666666667
Andy Dalton,12.445454545454545
Andy Isabella,4.2153846153846155
Andy Janovich,0.2642857142857143
Anthony Firkser,5.23125
Anthony Miller,6.79375
Anthony Sherman,0.6384615384615385
Antonio Brown,14.6375
Antonio Callaway,0.8
Ashton Dulin,0.7230769230769231
Auden Tate,3.2222222222222223
Austin Carr,1.95
Austin Ekeler,16.53
Austin Hooper,8.73076923076923
Austin Walter,1.0
Baker Mayfield,15.5375
Ben Roethlisberger,17.813333333333333
Bennie Fowler,0.62
Benny Snell Jr.,4.68125
Blake Bell,1.3875
Blake Jarwin,2.2
Bo Scarbrough,3.1
Boston Scott,5.975
Brandin Cooks,15.466666666666667
Brandon Allen,9.940000000000001
Brandon Dillon,0.5333333333333333
Brandon Wilson,0.4
Brandon Zylstra,0.7875
Braxton Berrios,6.08125
Breshad Perriman,8.258333333333333
Brian Hill,5.9625
Brian Hoyer,2.0
Buddy Howell,0.55
Byron Pringle,3.1538461538461537
C.J. Board,1.5285714285714285
C.J. Ham,1.7
C.J. Prosise,1.27
C.J. Uzomah,11.35
Calvin Ridley,18.766666666666666
Cam Newton,17.4
Cam Sims,5.3875
Cameron Brate,4.2625
Carlos Hyde,8.49
Carson Wentz,16.533333333333335
Case Keenum,0.9
Cedrick Wilson Jr.,3.225
Cethan Carter,0.6866666666666668
Chad Beebe,3.5785714285714287
Chandler Cox,0.3625
Chase Daniel,3.05
Chase Edmonds,10.5
Chris Carson,15.65
Chris Conley,6.473333333333333
Chris Godwin,15.916666666666666
Chris Herndon,4.60625
Chris Hogan,5.16
Chris Manhertz,0.7
Chris Thompson,5.325
Christian Blake,1.69375
Christian Kirk,10.457142857142857
Christian McCaffrey,30.133333333333336
