KICKER,Age,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Aldrick Rosas,26,6,0,0,0,3,3,2,2,1,0,5,3,11,8,54,72.7%,9,9,100.0%,20,1266,15,75.0%,63.3
Austin Seibert,24,5,0,0,0,0,0,5,5,3,1,1,0,9,6,48,66.7%,9,8,88.9%,20,1290,13,65.0%,64.5
Brandon McManus,29,15,0,0,0,6,6,5,4,8,8,15,10,34,28,58,82.4%,27,24,88.9%,73,4516,54,74.0%,61.9
Cairo Santos,29,16,0,0,0,9,9,10,10,10,9,3,2,32,30,55,93.8%,37,36,97.3%,86,5252,42,48.8%,61.1
Chase McLaughlin,24,4,0,0,0,1,1,1,1,1,1,2,1,5,4,52,80.0%,6,5,83.3%,3,177,0,0,59.0
Chris Boswell,29,13,0,0,0,5,5,6,6,8,7,1,1,20,19,59,95.0%,38,34,89.5%,73,4622,44,60.3%,63.3
Cody Parkey,28,15,0,0,0,5,5,6,4,11,10,0,0,22,19,46,86.4%,47,43,91.5%,81,5140,45,55.6%,63.5
Daniel Carlson,25,16,0,0,0,18,18,8,8,5,3,4,4,35,33,54,94.3%,47,45,95.7%,95,5966,61,64.2%,62.8
Dustin Hopkins,30,16,0,0,0,5,5,8,7,17,13,4,2,34,27,51,79.4%,32,30,93.8%,78,4808,65,83.3%,61.6
Elliott Fry,26,1,0,0,0,1,1,0,0,0,0,0,0,1,1,23,100.0%,2,1,50.0%,4,259,2,50.0%,64.8
Graham Gano,33,16,0,0,0,4,4,13,13,9,9,6,5,32,31,55,96.9%,23,21,91.3%,73,4357,30,41.1%,59.7
Greg Zuerlein,33,16,0,1,1,5,5,13,13,13,12,9,3,41,34,59,82.9%,36,33,91.7%,90,5589,60,66.7%,62.1
Harrison Butker,25,16,0,2,2,7,7,9,9,5,3,4,4,27,25,58,92.6%,54,48,88.9%,95,6027,72,75.8%,63.4
Jake Elliott,25,16,0,0,0,3,1,6,6,5,5,5,2,19,14,54,73.7%,26,24,92.3%,73,4508,46,63.0%,61.8
Jason Myers,29,16,0,0,0,2,2,7,7,13,13,2,2,24,24,61,100.0%,53,49,92.5%,91,5792,52,57.1%,63.6
Jason Sanders,25,16,0,1,1,8,8,7,7,14,12,9,8,39,36,56,92.3%,36,36,100.0%,91,5540,64,70.3%,60.9
Joey Slye,24,16,0,0,0,12,11,10,10,8,7,6,1,36,29,56,80.6%,36,33,91.7%,81,5095,71,87.7%,62.9
Josh Lambo,30,4,0,0,0,0,0,2,2,1,1,2,2,5,5,59,100.0%,10,8,80.0%,5,227,2,40.0%,45.4
Justin Tucker,31,16,0,0,0,8,8,7,6,9,9,5,3,29,26,55,89.7%,53,52,98.1%,95,6094,65,68.4%,64.1
Ka'imi Fairbairn,26,16,0,0,0,8,8,9,9,8,6,6,4,31,27,54,87.1%,40,37,92.5%,85,5343,52,61.2%,62.9
Mason Crosby,36,16,0,1,1,1,1,5,5,5,5,4,4,16,16,57,100.0%,63,59,93.7%,82,5236,48,58.5%,63.9
Matt Gay,26,7,0,0,0,2,2,6,5,7,6,1,1,16,14,51,87.5%,16,16,100.0%,35,2234,28,80.0%,63.8
Matt Prater,36,16,0,0,0,4,4,7,7,7,4,10,6,28,21,59,75.0%,41,38,92.7%,18,1065,7,38.9%,59.2
Matthew Wright,24,3,0,0,0,1,1,1,1,2,2,0,0,4,4,46,100.0%,7,7,100.0%,15,869,1,6.7%,57.9
Michael Badgley,25,16,0,0,0,8,8,6,6,13,8,6,2,33,24,53,72.7%,39,36,92.3%,3,177,0,0,59.0
Nick Folk,36,16,0,0,0,6,6,7,7,12,11,3,2,28,26,51,92.9%,33,30,90.9%,3,172,0,0,57.3
Randy Bullock,31,12,0,0,0,3,3,10,8,8,7,5,3,26,21,55,80.8%,25,24,96.0%,58,3617,43,74.1%,62.4
Robbie Gould,38,15,0,0,0,3,3,6,5,10,9,4,2,23,19,52,82.6%,38,36,94.7%,13,577,1,7.7%,44.4
Rodrigo Blankenship,23,16,0,0,0,10,10,13,12,11,9,3,1,37,32,53,86.5%,45,43,95.6%,20,1267,13,65.0%,63.4
Ryan Succop,34,16,0,1,1,10,10,9,9,9,7,2,1,31,28,50,90.3%,57,52,91.2%,1,16,0,0,16.0
Tristan Vizcaino,24,1,0,0,0,0,0,2,2,1,1,0,0,3,3,47,100.0%,2,2,100.0%,1,65,1,100.0%,65.0
Tyler Bass,23,16,0,1,1,9,9,9,6,9,8,6,4,34,28,58,82.4%,59,57,96.6%,101,6469,71,70.3%,64.0
Younghoe Koo,26,15,0,0,0,10,10,12,11,9,8,8,8,39,37,54,94.9%,36,33,91.7%,66,4160,28,42.4%,63.0
Zane Gonzalez,25,12,0,0,0,4,4,2,2,13,8,3,2,22,16,56,72.7%,39,38,97.4%,65,4112,36,55.4%,63.3
