Player,Pts
Aldrick Rosas,20
Austin Seibert,35
Brandon McManus,111
Cairo Santos,105
Chase McLaughlin,81
Chris Boswell,135
Cody Parkey,3
Daniel Carlson,150
Dustin Hopkins,130
Elliott Fry,16
Graham Gano,104
Greg Zuerlein,129
Harrison Butker,122
Jake Elliott,134
Jason Myers,95
Jason Sanders,103
Joey Slye,87
Josh Lambo,5
Justin Tucker,137
Ka'imi Fairbairn,58
Mason Crosby,124
Matt Gay,144
Matt Prater,137
Matthew Wright,76
Michael Badgley,94
Nick Folk,150
Randy Bullock,120
Robbie Gould,99
Rodrigo Blankenship,40
Ryan Succop,131
Tristan Vizcaino,28
Tyler Bass,135
Younghoe Koo,111
Zane Gonzalez,82
