DEFENSE,TACKLES,SOLO,ASSIST,PASS DEF,SACKS,INT,FF,FR,SFTY,TD
Dallas Cowboys,59.9,40.5,19.4,5,2.4,1.5,0.8,0.6,0,0
New England Patriots,65.8,42.9,22.9,5.2,2.1,1.4,0.6,0.4,0,0
Buffalo Bills,59.7,41.1,18.6,4.6,2.4,1.1,0.7,0.6,0.1,0
Miami Dolphins,64.7,41.3,23.4,5.3,2.8,0.8,0.8,0.8,0,0
New Orleans Saints,64.1,42.2,21.8,4.8,2.7,1.1,0.8,0.4,0,0
Tampa Bay Buccaneers,61.8,43.4,18.4,5,2.8,1,0.9,0.8,0,0
Kansas City Chiefs,62.1,40.5,21.6,4.1,1.8,0.9,1.1,0.9,0,0
Indianapolis Colts,64.9,45.4,19.5,4.1,1.9,1.1,1,1,0.1,0
Tennessee Titans,61.9,41.9,20,4.8,2.5,0.9,0.8,0.4,0,0
Arizona Cardinals,61.9,41.7,20.2,4.1,2.4,0.8,1.2,0.9,0,0
San Francisco 49ers,65.4,41.6,23.8,3.3,2.8,0.5,1.2,0.7,0,0
Green Bay Packers,58.9,41.9,16.9,4.4,2.2,1.1,0.6,0.6,0,0
Denver Broncos,60.2,37.6,22.5,4.3,2.1,0.8,0.4,0.4,0,0
Minnesota Vikings,70.9,45.1,25.9,4,3,0.9,0.8,0.5,0,0
Los Angeles Rams,69.9,44,25.9,4.2,2.9,1.1,0.8,0.4,0,0
Philadelphia Eagles,69,39.4,29.6,3.2,1.7,0.7,0.8,0.3,0,0
Cincinnati Bengals,66.1,42.4,23.7,3.7,2.4,0.8,1,0.5,0,0
Cleveland Browns,64.4,41.8,22.6,4.5,2.5,0.8,0.7,0.4,0,0
Pittsburgh Steelers,70.3,46.6,23.6,4.8,3.2,0.8,1.1,0.6,0,0
Chicago Bears,64.1,41.7,22.4,3.3,2.8,0.5,0.8,0.5,0.1,0
Washington Commanders,65.2,41.4,23.8,3.6,2.2,0.6,0.5,0.5,0,0
New York Giants,74.9,42.6,32.3,4.9,2,0.9,0.7,0.5,0.1,0
Seattle Seahawks,78.7,48.6,30.1,4.6,1.9,0.6,0.4,0.4,0.1,0
Houston Texans,70.4,45,25.4,3.7,1.9,1,0.9,0.5,0.1,0
Carolina Panthers,64.3,40.7,23.6,3.1,2.3,0.5,0.8,0.5,0.1,0
Baltimore Ravens,61.7,40.1,21.6,4.1,1.9,0.5,0.5,0.4,0,0
Los Angeles Chargers,68.5,43.9,24.6,3.2,2.1,0.6,1.1,0.6,0,0
Las Vegas Raiders,68.3,42.1,26.2,4.3,2.1,0.4,0.8,0.6,0.1,0
Atlanta Falcons,70.9,42.7,28.2,4.4,1,0.7,0.8,0.5,0,0
Detroit Lions,68.1,43.5,24.6,4,1.8,0.6,0.6,0.5,0,0
New York Jets,71.4,45.3,26.1,3.5,1.8,0.4,0.8,0.4,0,0
Jacksonville Jaguars,67.5,42.6,24.8,2.9,1.9,0.4,0.5,0.2,0,0
