Player,Pts
Austin Seibert,21
Brandon McManus,109
Brett Maher,137
Cairo Santos,90
Chase McLaughlin,111
Chris Boswell,78
Daniel Carlson,137
Dominik Eberle,5
Dustin Hopkins,39
Eddy Pineiro,129
Evan McPherson,112
Graham Gano,119
Greg Joseph,118
Greg Zuerlein,118
Harrison Butker,92
Jake Elliott,111
Jason Myers,143
Jason Sanders,119
Joey Slye,99
Josh Lambo,3
Justin Tucker,142
Ka'imi Fairbairn,111
Mason Crosby,112
Matt Ammendola,20
Matt Gay,115
Matt Prater,83
Matthew Wright,60
Michael Badgley,105
Nick Folk,128
Randy Bullock,79
Riley Patterson,126
Robbie Gould,131
Rodrigo Blankenship,16
Ryan Succop,117
Tristan Vizcaino,9
Tyler Bass,129
Younghoe Koo,129
