NAME,RTG,BYE,GP,FPPG,PTS ALLOW,YARDS ALLOW,PLAYS ALLOW,SACKS,FF,FR,INT,DEF TD, SP TD
"New England Patriots",90,11,17,10.4,20.4,322,64.2,3.2,0.8,0.7,0.8,0.5,0.1
"Dallas Cowboys",97,7,17,9.8,20.1,330.2,64.8,3.2,1.2,1.1,1.1,0.2,0
"San Francisco 49ers",98,9,17,9.5,16.3,300.6,60.4,2.6,0.9,0.6,0.5,0.2,0
"Philadelphia Eagles",95,10,17,8.9,20.2,301.4,63,4.1,0.8,0.6,0.5,0.1,0
"Buffalo Bills",91,13,16,8.4,17.9,319.1,62.3,2.5,0.7,0.6,0.9,0.2,0.1
"Jacksonville Jaguars",87,9,17,8.2,20.6,353.3,65.1,2.1,1,0.8,0.5,0.2,0
"Baltimore Ravens",95,13,17,7.3,18.5,324.3,61.6,2.8,0.8,0.6,0.8,0.1,0.1
"Kansas City Chiefs",92,10,17,7.1,21.7,328.2,64.3,3.2,0.7,0.5,0.7,0.1,0
"Washington Commanders",79,14,17,6.8,20.2,304.6,58.7,2.5,0.5,0.5,0.9,0.2,0
"Houston Texans",76,7,17,6.8,24.7,379.5,66.7,2.3,0.8,0.7,1.1,0.1,0
"Cincinnati Bengals",89,7,16,6.5,20.1,335.7,62.2,1.9,0.9,0.8,0.8,0.1,0
"Carolina Panthers",84,7,17,6.4,22,350.2,64.9,2.1,0.5,0.6,0.8,0.2,0
"New Orleans Saints",87,11,17,6.4,20.3,314.8,63.3,2.8,0.7,0.4,0.8,0.1,0
"Seattle Seahawks",74,5,17,6.4,23.6,361.7,65.7,2.6,1,0.6,0.7,0.1,0
"Green Bay Packers",84,6,17,6.4,21.8,336.5,58.3,2,0.7,0.5,0.7,0.2,0.1
"New York Jets",95,7,17,6.2,18.6,311.1,64.3,2.6,0.6,0.2,0.8,0.1,0
"New York Giants",73,13,17,6.1,21.8,358.2,63.4,2.4,1.2,0.8,0.4,0.1,0
"Indianapolis Colts",77,11,17,6.1,25.1,334,64.2,2.6,0.8,0.9,1.2,0.2,0
"Tennessee Titans",80,7,17,6.1,21.1,351.6,64.7,2.3,0.6,0.4,0.6,0.1,0
"Tampa Bay Buccaneers",84,5,17,6,21.1,324.3,63.1,2.6,0.7,0.6,0.6,0.1,0
"Los Angeles Rams",72,10,17,6,22.6,341.1,61.7,2.2,0.6,0.4,0.9,0.1,0
"Arizona Cardinals",67,14,17,5.9,26.4,348.9,63.2,2.1,0.7,0.5,1,0.3,0
"Denver Broncos",69,9,17,5.9,21.1,320,63.5,2.1,0.9,0.5,0.9,0,0
"Pittsburgh Steelers",89,6,17,5.9,20.4,330.4,60.2,2.4,0.5,0.2,0.8,0.1,0
"Los Angeles Chargers",74,5,17,5.9,22.6,346.1,58.9,2.4,0.9,0.6,0.6,0.1,0
"Cleveland Browns",99,5,17,5.8,22.4,331.2,61.2,2,0.6,0.6,0.7,0.2,0.1
"Minnesota Vikings",79,13,17,5.5,25.1,388.7,65.8,2.2,0.6,0.6,0.9,0.1,0.1
"Miami Dolphins",88,10,17,5.4,23.5,337.8,63.9,2.4,0.8,0.4,0.9,0.2,0
"Detroit Lions",81,9,17,5.3,25.1,392.4,63.3,2.3,0.8,0.6,0.4,0.1,0.1
"Las Vegas Raiders",72,13,17,4.3,24.6,365.6,63.4,1.6,0.6,0.4,1,0.2,0
"Atlanta Falcons",81,11,17,4.2,22.7,362.1,63.6,1.2,0.4,0.5,0.5,0.2,0.1
"Chicago Bears",60,13,17,3.4,27.2,375.9,61.4,1.2,0.8,0.5,0.9,0,0
